Lambda,Total Avg Drop Rate,Q1 Drop Rate,Total Avg Drop Rate,Total Avg Drop Rate
5000,0.016605109,0.006067369,0.005315862,0.005306716
5500,0.016953506,0.006077394,0.005285247,0.005234613
6000,0.017479532,0.006035318,0.005284148,0.005341801
6500,0.018491686,0.006067496,0.005348037,0.005462882
7000,0.018946197,0.006083179,0.005287231,0.005356437
7500,0.020099044,0.006146223,0.005409874,0.005381227
8000,0.021434345,0.006208665,0.005534452,0.005499892
8100,0.021908604,0.006280522,0.005567552,0.005377042
8200,0.022278718,0.006903866,0.005392457,0.005450407
8300,0.022285074,0.006971643,0.005917867,0.005679602
8400,0.022853074,0.007393217,0.005980516,0.005338789
8500,0.023342346,0.006401138,0.005368765,0.005490118
8600,0.023652542,0.006272294,0.005834423,0.005753613
8700,0.024338612,0.006295971,0.005533857,0.005497306
8800,0.024770704,0.006621064,0.005515966,0.005782197
8900,0.025239838,0.006259389,0.005629768,0.005611785
9000,0.026218431,0.006311565,0.00569846,0.005175663
9100,0.026303649,0.006779695,0.005796754,0.005595596
9200,0.027403218,0.006884197,0.005311077,0.005650337
9300,0.02743958,0.00687945,0.005863753,0.005470613
9400,0.028881856,0.006462229,0.005392397,0.005441342
9500,0.029721821,0.006335375,0.005482401,0.005733784
9600,0.030695715,0.006990833,0.005517891,0.005950283
9700,0.031980792,0.006121247,0.005227145,0.00547562
9800,0.033286649,0.006261019,0.00573003,0.005571839
9900,0.034784651,0.006560553,0.005930938,0.005807236
10000,0.035473641,0.006423833,0.005439882,0.006120627
10100,0.036932918,0.006166803,0.005755756,0.006033273
10200,0.039480059,0.006857531,0.00550003,0.005522264
10300,0.041787322,0.006003448,0.00523471,0.005672991
10400,0.043357459,0.006831836,0.005826831,0.005670357
10500,0.048519745,0.006891792,0.005495771,0.005712517
10600,0.05135814,0.006451225,0.005714457,0.005839314
10700,0.057475047,0.006736901,0.005533234,0.00554444
10800,0.061053813,0.006645767,0.005553447,0.005671323
10900,0.070303694,0.006922252,0.005576022,0.00552011
11000,0.083997453,0.006773768,0.005630586,0.005749708
11100,0.09040243,0.006707843,0.005856648,0.00545622
11200,0.115727009,0.006508846,0.005963422,0.005952262
11300,0.15762215,0.00664895,0.005671723,0.005653222
11400,0.269731886,0.007003306,0.005669625,0.005473448
11500,0.395298022,0.007061738,0.005934897,0.006130552
11510,0.445607254,0.006899577,0.005244074,0.00562018
11520,0.816954086,0.007168819,0.005836809,0.005263945
11530,0.810275364,0.006854722,0.005683524,0.005966838
11540,0.851334208,0.007006021,0.005787153,0.005915848
11550,0.899384164,0.006755069,0.005700163,0.006149717
11560,0.946596493,0.006664942,0.005891934,0.006271693
11570,0.9999999,0.006701983,0.006085762,0.005946422
,,0.007052299,0.005885066,0.005570281
,,0.007016875,0.005672479,0.005608097
,,0.00691817,0.005673219,0.005938492
,,0.006935297,0.005953337,0.006060727
,,0.006856672,0.006260592,0.00596176
,,0.007502251,0.005646663,0.005990475
,,0.007104314,0.006028298,0.005938826
,,0.006461163,0.006162867,0.006099576
,,0.006799856,0.00583384,0.005428546
,,0.006506116,0.00601988,0.006627356
,,0.006674472,0.005452628,0.005962157
,,0.007126605,0.005918828,0.00600793
,,0.007337065,0.006276759,0.006373314
,,0.007031954,0.006242649,0.005764584
,,0.006924195,0.006031267,0.006176042
,,0.007011122,0.006086227,0.006156588
,,0.007592869,0.00629044,0.006130974
,,0.007121293,0.006205612,0.006237712
,,0.007182426,0.005844681,0.006367832
,,0.007040774,0.005912964,0.006092454
,,0.007171211,0.006268216,0.005662233
,,0.007407334,0.006117492,0.005728568
,,0.007092625,0.005844201,0.006539145
,,0.007513449,0.006112724,0.006119719
,,0.007168888,0.006648778,0.006528326
,,0.007613063,0.006058179,0.00598874
,,0.007203661,0.006017614,0.006626885
,,0.007901027,0.005884771,0.006112237
,,0.007702592,0.006169981,0.006073438
,,0.007550741,0.00585395,0.006556983
,,0.007935634,0.006573203,0.006375082
,,0.007557657,0.006215407,0.006487051
,,0.007154684,0.006234163,0.006031412
,,0.007964946,0.005986887,0.006448135
,,0.007584574,0.006504389,0.006526064
,,0.007270839,0.006094945,0.006347593
,,0.007319232,0.006424304,0.006185197
,,0.007786005,0.006488093,0.006562963
,,0.007841383,0.006393862,0.006542056
,,0.007911011,0.006232374,0.006095849
,,0.007702682,0.006240607,0.006157734
,,0.007938158,0.006391528,0.006807467
,,0.007509549,0.006584891,0.006459948
,,0.007945742,0.006659489,0.006256246
,,0.008055328,0.00658573,0.006217016
,,0.007977978,0.006061994,0.006914468
,,0.007402065,0.00642053,0.006852193
,,0.00890472,0.006384109,0.006560168
,,0.007815853,0.006564945,0.006619727
,,0.008308944,0.006309654,0.007282685
,,0.00835758,0.00714578,0.006647009
,,0.008542638,0.006544516,0.006581243
,,0.00844924,0.006529031,0.006737353
,,0.008167432,0.006408908,0.006511925
,,0.008175366,0.006286218,0.006519363
,,0.008190033,0.006968257,0.007225419
,,0.008883565,0.006384613,0.006554129
,,0.008831855,0.006898002,0.006593473
,,0.008271894,0.006822075,0.007502626
,,0.009113472,0.006598387,0.007176938
,,0.008830706,0.006931009,0.006508442
,,0.008758831,0.006777486,0.006347328
,,0.00886734,0.006638648,0.007007087
,,0.008754074,0.006810905,0.006541365
,,0.008751289,0.006585917,0.006996657
,,0.008462652,0.006575655,0.006527271
,,0.009071724,0.006674472,0.00731946
,,0.00854024,0.007029197,0.006433952
,,0.008869625,0.006920623,0.006992588
,,0.009245146,0.006971464,0.007010867
,,0.008882501,0.007300734,0.006919824
,,0.009296135,0.007210554,0.007070535
,,0.00933143,0.006957723,0.007196114
,,0.009562855,0.007326154,0.007418086
,,0.009155677,0.007452282,0.007061526
,,0.008911298,0.007178995,0.007471569
,,0.009357592,0.007063049,0.007637013
,,0.009649843,0.006960301,0.007589072
,,0.010111725,0.007314096,0.007174592
,,0.0099998,0.00658409,0.006785471
,,0.010114988,0.007682855,0.007720964
,,0.01006661,0.007043594,0.007779527
,,0.010226312,0.007391235,0.007923867
,,0.01010676,0.007982736,0.007503697
,,0.010473305,0.007813832,0.00757166
,,0.010460314,0.007585437,0.00774095
,,0.010668528,0.007472989,0.007944725
,,0.011049006,0.007589678,0.008373514
,,0.010285096,0.007762379,0.00811302
,,0.010520216,0.007225853,0.007696229
,,0.010885804,0.007395753,0.008017609
,,0.011219035,0.007916068,0.007804741
,,0.011285304,0.007699923,0.007913849
,,0.010888401,0.008563643,0.007683316
,,0.011030814,0.007741091,0.007893664
,,0.011355102,0.008557457,0.008477616
,,0.011754358,0.008370625,0.007868269
,,0.011773466,0.007989428,0.007854576
,,0.012008158,0.008194753,0.007864102
,,0.012314559,0.008529253,0.008143437
,,0.012135386,0.008138423,0.008135865
,,0.013136716,0.008586651,0.008451859
,,0.012143957,0.008058966,0.00841695
,,0.012402712,0.008398398,0.008386961
,,0.012355923,0.008763778,0.008500298
,,0.01317148,0.00825222,0.008801863
,,0.012551757,0.008481272,0.008553732
,,0.013458883,0.0085911,0.008462935
,,0.013862333,0.008649528,0.008332085
,,0.014635917,0.00838864,0.008619656
,,0.0144961,0.008083671,0.00921525
,,0.014908485,0.009041266,0.009151215
,,0.014938776,0.00950788,0.009224356
,,0.015306327,0.008775163,0.008997545
,,0.015816683,0.009211393,0.008703518
,,0.01609295,0.009422556,0.008908641
,,0.016564019,0.008588207,0.008744603
,,0.016811943,0.009488008,0.009196457
,,0.017565215,0.009095462,0.009426764
,,0.017825818,0.009773096,0.009207734
,,0.018324149,0.008990609,0.009536186
,,0.018598213,0.0099265,0.010056436
,,0.019618514,0.010025712,0.009759857
,,0.020086903,0.009231575,0.00966015
,,0.020467795,0.010079201,0.009879669
,,0.021386881,0.010188558,0.010248565
,,0.021749478,0.010847959,0.010281668
,,0.023056474,0.009923764,0.010221703
,,0.024293356,0.010174216,0.011287133
,,0.0250628,0.010264868,0.010423206
,,0.026218998,0.009702225,0.010442217
,,0.028481408,0.010263665,0.01086262
,,0.03119326,0.011211008,0.010377688
,,0.030781032,0.010628573,0.011922993
,,0.03258265,0.010794966,0.011576974
,,0.035584872,0.011346323,0.011222083
,,0.042070978,0.011730264,0.011224357
,,0.04228592,0.01131789,0.012066335
,,0.048732819,0.01189952,0.011993988
,,0.055466982,0.011745674,0.01192591
,,0.063396376,0.012106367,0.01237715
,,0.07731667,0.012122963,0.011501023
,,0.075433335,0.013177613,0.012701177
,,0.133731256,0.012065957,0.01270726
,,0.144251375,0.012465679,0.01314227
,,0.266387852,0.012271652,0.014266953
,,0.200781091,0.013670581,0.013088874
,,0.248924624,0.014322056,0.014942287
,,0.263780299,0.014585543,0.013315179
,,0.333567506,0.013699313,0.014572733
,,0.267652542,0.015299528,0.014668873
,,0.310015251,0.015744476,0.015815924
,,0.308075292,0.015353665,0.015631432
,,0.269745239,0.016363944,0.015837761
,,0.287848898,0.015968144,0.015390786
,,0.5,0.016680758,0.015910448
,,0.7,0.016295882,0.016979751
,,0.9,0.015690765,0.017877975
,,0.999,0.017197427,0.017460761
,,,0.018121843,0.018972962
,,,0.018851227,0.019247559
,,,0.019470466,0.020270102
,,,0.020619679,0.020630166
,,,0.020748666,0.02137551
,,,0.022678617,0.022429882
,,,0.0222252,0.023374825
,,,0.024731706,0.024018086
,,,0.026080708,0.026072967
,,,0.026165697,0.026391717
,,,0.028922965,0.028839804
,,,0.029592722,0.030637769
,,,0.031793836,0.030357729
,,,0.032914809,0.036305521
,,,0.036631684,0.037460971
,,,0.041451713,0.040124515
,,,0.041861634,0.044688607
,,,0.050283486,0.049295275
,,,0.057342382,0.057426822
,,,0.058595449,0.061930811
,,,0.075887059,0.079150839
,,,0.080389384,0.099594124
,,,0.102039245,0.111213517
,,,0.176299298,0.15514496
,,,0.233645355,0.317227679
,,,0.270304186,0.711350894
,,,0.819273782,0.900223007
,,,0.910765753,0.996548209
,,,0.99377741,
